Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,2021_Population,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-154.43668249,57.56248915,Karluk,CDP,Community,Kodiak Island Borough,27,1,0,1
-170.28228831,57.1203994800001,Saint Paul,2nd Class City,Community,Aleutians West Census Area,391,1,0,1
-152.65179399,66.539456,New Allakaket,Unincorporated CDP,Place of Interest,Yukon-Koyukuk Census Area,0,1,0,0
-166.1928612,60.38649408,Mekoryuk,2nd Class City,Community,Bethel Census Area,195,1,0,1
-158.10535466,64.7234193800001,Nulato,2nd Class City,Community,Yukon-Koyukuk Census Area,223,1,0,1
-132.52282231,55.6854862600001,Thorne Bay,2nd Class City,Community,Prince of Wales-Hyder Census Area,456,1,0,0
-149.4411111,60.0725,Lowell Point,CDP,Community,Kenai Peninsula Borough,89,1,0,0
-152.70131499,66.55452803,Alatna,Unincorporated CDP,Community,Yukon-Koyukuk Census Area,17,1,0,1
-151.24880589,60.5590139000001,Kenai,Home Rule City,Community,Kenai Peninsula Borough,7380,0,0,0
-155.54739837,64.09977795,Poorman,Unincorporated,Place of Interest,Yukon-Koyukuk Census Area,0,0,0,0
-160.49809006,55.34090243,Sand Point,1st Class City,Community,Aleutians East Borough,648,1,0,1
-132.3836088,56.470404,Wrangell,Unified Home Rule Borough,Community,City and Borough of Wrangell,2096,1,1,0
-162.72884219,66.07667336,Deering,2nd Class City,Community,Northwest Arctic Borough,190,1,0,1
-151.29692559,60.7345972300001,Nikiski,CDP,Community,Kenai Peninsula Borough,4443,0,0,0
-165.59052769,61.5286181800001,Chevak,2nd Class City,Community,Kusilvak Census Area,939,1,0,1
-162.02949727,60.2189059200001,Eek,2nd Class City,Community,Bethel Census Area,408,1,0,1
-157.01991376,58.72821587,Naknek,CDP,Community,Bristol Bay Borough,464,1,0,0
-160.31576292,61.5381853700001,Upper Kalskag,2nd Class City,Community,Bethel Census Area,203,1,0,1
-155.58835315,62.9501408500001,McGrath,2nd Class City,Community,Yukon-Koyukuk Census Area,274,1,0,1
-160.36440167,61.5123629700001,Lower Kalskag,2nd Class City,Community,Bethel Census Area,262,1,0,1
-148.84811376,63.85383025,Suntrana,Locality,Place of Interest,Denali Borough,0,0,0,0
