Longitude,Latitude,Community,IncorporationType,AreaType,Population,Year,Is_Subsistence_Use,Is_Essential_Air_Service,Is_Environmentally_Threatened
-164.7299664,60.4799803000001,Nightmute,2nd Class City,Community,285,2015,1,0,1
-149.1177581,61.5997057600001,Palmer,Home Rule City,Community,6053,2014,0,0,0
-161.1648736,64.9306613100001,Koyuk,2nd Class City,Community,321,2014,1,0,1
-156.7824387,71.29234396,North Slope Borough,Non-Unified Home Rule Borough,Community,9899,2012,1,0,0
-149.3695472,60.41930962,Crown Point,CDP,Community,71,2015,1,0,0
-148.9409266,61.4971211500001,Knik River,CDP,Community,745,2014,1,0,0
-142.9237002,61.43287967,McCarthy,Unincorporated CDP,Community,32,2016,1,1,0
-149.1157308,64.0170859300001,Ferry,CDP,Place of Interest,27,2016,0,0,0
-141.2075972,64.7889396800001,Eagle,2nd Class City,Community,79,2015,1,0,1
-136.0314547,59.44650625,Mosquito Lake,CDP,Place of Interest,266,2014,1,0,0
-150.7679026,62.4964964500001,Petersville,CDP,Community,4,2016,1,0,0
-152.8834419,57.86662239,Port Lions,2nd Class City,Community,174,2015,1,1,1
-170.2822883,57.1203994800001,Saint Paul,2nd Class City,Community,427,2015,1,0,1
-141.010596,62.6221071900001,Alcan Border,Unincorporated CDP,Place of Interest,27,2014,1,0,0
-149.1453354,61.64000731,Farm Loop,CDP,Place of Interest,1104,2014,1,0,0
-151.2969256,60.7345972300001,Nikiski,CDP,Community,4652,2015,0,0,0
-144.4411179,61.5164902700001,Chitina,Unincorporated CDP,Community,116,2015,1,1,0
-149.0459984,61.6283302300001,Lazy Mountain,CDP,Community,1562,2016,0,0,0
-148.4788125,61.79624012,Chickaloon,CDP,Community,253,2016,0,0,0
-154.2582191,66.0458727800001,Hughes,2nd Class City,Community,91,2016,1,0,1
-162.8831358,61.9372025100001,Pilot Station,2nd Class City,Community,647,2016,1,0,1
-146.5882565,62.29986189,Lake Louise,CDP,Community,47,2015,1,0,0
-149.8948474,61.21627757,Anchorage,Unified Home Rule Borough,Community,299037,2016,0,0,0
-151.3334305,60.61773773,Salamatof,CDP,Community,1168,2014,1,0,0
-151.7380029,59.93501064,Happy Valley,CDP,Community,566,2015,1,0,0
-157.8565278,67.0864707800001,Ambler,2nd Class City,Community,277,2015,1,0,1
-143.3559974,63.3762792000001,Tanacross,Unincorporated CDP,Community,110,2015,1,0,1
-162.2645069,64.61655211,Elim,2nd Class City,Community,350,2014,1,0,1
-159.2420218,61.57491472,Chuathbaluk,2nd Class City,Community,134,2014,1,0,1
-150.0108417,61.3551864900001,Point MacKenzie,CDP,Community,1782,2016,1,0,0
-152.6494805,66.56004842,Allakaket,2nd Class City,Community,111,2014,1,0,1
-135.884444,59.40389,Haines CDP,CDP,CDP,1823,2012,0,0,0
-166.5376818,53.8730924600001,Unalaska,1st Class City,Community,4605,2015,1,0,0
